county_id,county_name,population,population_change,num_born,num_dead,birth_excess,total_immigration,internal_immigration,swedish_immigration,foreign_immigration,total_emigration,internal_emmigration,swedish_emigration,foreign_emigration,total_net_migration,internal_migration,swedish_migration,foreign_migration
1760,Storfors                                          ,4 098,17,13,15,-2,97,21,53,23,80,28,51,1,17,-7,2,22
1766,Sunne                                             ,13 343,1,45,33,12,223,92,60,71,233,109,119,5,-10,-17,-59,66
1785,Säffle                                            ,15 703,71,42,43,-1,285,81,129,75,217,64,141,12,68,17,-12,63
1737,Torsby                                            ,11 871,-86,27,49,-22,133,40,33,60,196,70,114,12,-63,-30,-81,48
1765,Årjäng                                            ,9 939,7,22,32,-10,126,31,51,44,108,47,45,16,18,-16,6,28
1882,Askersund                                         ,11 181,-12,34,29,5,166,66,85,15,185,112,72,1,-19,-46,13,14
1862,Degerfors                                         ,9 619,-30,28,22,6,127,67,39,21,164,74,82,8,-37,-7,-43,13
1861,Hallsberg                                         ,15 876,48,38,42,-4,347,201,96,50,305,173,126,6,42,28,-30,44
1863,Hällefors                                         ,7 090,33,24,22,2,186,22,115,49,155,47,103,5,31,-25,12,44
1883,Karlskoga                                         ,30 485,-26,68,84,-16,373,105,204,64,378,149,217,12,-5,-44,-13,52
1881,Kumla                                             ,21 461,13,67,34,33,380,263,75,42,397,258,125,14,-17,5,-50,28
1860,Laxå                                              ,5 671,-10,9,8,1,92,29,33,30,113,55,52,6,-21,-26,-19,24
1814,Lekeberg                                          ,7 831,49,25,15,10,158,100,50,8,122,77,38,7,36,23,12,1
1885,Lindesberg                                        ,23 707,-23,54,60,-6,422,119,166,137,441,195,224,22,-19,-76,-58,115
1864,Ljusnarsberg                                      ,4 950,46,10,9,1,142,26,71,45,94,46,45,3,48,-20,26,42
1884,Nora                                              ,10 723,42,33,31,2,191,98,67,26,151,83,63,5,40,15,4,21
1880,Örebro                                            ,149 403,1 326,495,278,217,3 164,710,2 060,394,2 053,537,1 346,170,1 111,173,714,224
1984,Arboga                                            ,13 895,-40,38,34,4,209,64,118,27,253,92,150,11,-44,-28,-32,16
1982,Fagersta                                          ,13 454,-16,45,32,13,265,95,128,42,295,81,190,24,-30,14,-62,18
1961,Hallstahammar                                     ,15 894,55,47,43,4,337,174,139,24,286,184,95,7,51,-10,44,17
1960,Kungsör                                           ,8 566,8,28,15,13,173,37,102,34,177,71,103,3,-4,-34,-1,31
1983,Köping                                            ,26 122,61,68,80,-12,398,147,160,91,340,128,200,12,58,19,-40,79
1962,Norberg                                           ,5 813,-3,14,14,0,126,37,42,47,138,43,91,4,-12,-6,-49,43
1981,Sala                                              ,22 620,81,58,72,-14,347,68,221,58,261,76,179,6,86,-8,42,52
1904,Skinnskatteberg                                   ,4 408,-16,11,18,-7,111,51,40,20,124,60,55,9,-13,-9,-15,11
1907,Surahammar                                        ,10 068,35,29,26,3,201,110,55,36,167,113,53,1,34,-3,2,35
1980,Västerås                                          ,149 695,815,440,289,151,2 421,447,1 531,443,1 816,382,1 297,137,605,65,234,306
2084,Avesta                                            ,23 163,-75,68,70,-2,335,46,181,108,407,68,336,3,-72,-22,-155,105
2081,Borlänge                                          ,51 848,-9,167,118,49,749,284,335,130,799,314,437,48,-50,-30,-102,82
2080,Falun                                             ,58 214,125,166,107,59,946,284,527,135,882,220,630,32,64,64,-103,103
2026,Gagnef                                            ,10 264,60,35,22,13,187,98,62,27,143,77,61,5,44,21,1,22
2083,Hedemora                                          ,15 530,15,39,31,8,267,73,106,88,268,103,154,11,-1,-30,-48,77
2029,Leksand                                           ,15 580,-13,40,50,-10,279,95,158,26,283,95,172,16,-4,0,-14,10
2085,Ludvika                                           ,26 998,-48,89,66,23,357,103,181,73,426,144,266,16,-69,-41,-85,57
2023,Malung-Sälen                                      ,10 083,1,25,34,-9,154,30,90,34,143,38,92,13,11,-8,-2,21
2062,Mora                                              ,20 391,82,50,46,4,334,98,166,70,260,72,174,14,74,26,-8,56
2034,Orsa                                              ,6 892,-9,12,19,-7,114,40,54,20,116,50,61,5,-2,-10,-7,15
2031,Rättvik                                           ,10 856,-19,27,30,-3,149,63,77,9,165,63,95,7,-16,0,-18,2
2061,Smedjebacken                                      ,10 849,-1,26,26,0,143,74,52,17,143,62,74,7,0,12,-22,10
2082,Säter                                             ,11 180,38,43,26,17,197,116,52,29,175,97,75,3,22,19,-23,26
2021,Vansbro                                           ,6 829,4,21,14,7,101,31,39,31,103,25,77,1,-2,6,-38,30
2039,Älvdalen                                          ,7 047,2,16,24,-8,94,26,51,17,92,33,53,6,2,-7,-2,11
2183,Bollnäs                                           ,26 851,-86,77,80,-3,319,95,155,69,407,141,252,14,-88,-46,-97,55
2180,Gävle                                             ,100 500,353,294,201,93,1 492,331,920,241,1 236,208,966,62,256,123,-46,179
2104,Hofors                                            ,9 625,20,21,25,-4,155,47,59,49,136,57,77,2,19,-10,-18,47
2184,Hudiksvall                                        ,37 396,48,90,92,-2,522,145,271,106,474,121,331,22,48,24,-60,84
2161,Ljusdal                                           ,19 042,-34,39,54,-15,230,47,145,38,244,81,153,10,-14,-34,-8,28
2132,Nordanstig                                        ,9 481,-26,34,24,10,137,43,76,18,172,70,96,6,-35,-27,-20,12
2101,Ockelbo                                           ,5 895,4,8,15,-7,96,41,38,17,85,47,38,0,11,-6,0,17
2121,Ovanåker                                          ,11 623,7,33,34,-1,119,40,51,28,111,34,74,3,8,6,-23,25
2181,Sandviken                                         ,39 228,-13,104,95,9,539,182,248,109,565,218,318,29,-26,-36,-70,80
2182,Söderhamn                                         ,25 811,-86,40,96,-56,353,93,161,99,383,87,285,11,-30,6,-124,88
2280,Härnösand                                         ,25 217,-108,65,62,3,422,123,174,125,522,148,362,12,-100,-25,-188,113
2282,Kramfors                                          ,18 667,33,49,55,-6,450,126,160,164,416,142,259,15,34,-16,-99,149
2283,Sollefteå                                         ,19 737,-58,51,74,-23,331,60,147,124,364,72,289,3,-33,-12,-142,121
2281,Sundsvall                                         ,98 758,141,288,227,61,1 265,317,719,229,1 191,299,861,31,74,18,-142,198
2262,Timrå                                             ,18 023,57,49,52,-3,301,192,75,34,240,148,86,6,61,44,-11,28
2260,Ånge                                              ,9 506,4,13,37,-24,216,48,77,91,188,65,115,8,28,-17,-38,83
2284,Örnsköldsvik                                      ,56 174,-10,147,160,-13,545,75,330,140,540,67,456,17,5,8,-126,123
2326,Berg                                              ,7 111,1,18,23,-5,125,44,41,40,118,55,62,1,7,-11,-21,39
2305,Bräcke                                            ,6 488,-22,12,18,-6,147,36,69,42,160,55,98,7,-13,-19,-29,35
2361,Härjedalen                                        ,10 196,10,26,37,-11,209,24,135,50,189,35,150,4,20,-11,-15,46
2309,Krokom                                            ,14 895,31,42,36,6,315,150,92,73,291,142,145,4,24,8,-53,69
2303,Ragunda                                           ,5 461,52,16,16,0,140,37,44,59,92,37,52,3,48,0,-8,56
2313,Strömsund                                         ,11 828,28,29,39,-10,240,49,125,66,209,58,133,18,31,-9,-8,48
2321,Åre                                               ,11 191,145,36,25,11,428,68,223,137,299,86,191,22,129,-18,32,115
2380,Östersund                                         ,62 479,328,188,137,51,1 187,341,700,146,911,281,595,35,276,60,105,111
2403,Bjurholm                                          ,2 448,0,4,12,-8,32,17,8,7,24,11,12,1,8,6,-4,6
2425,Dorotea                                           ,2 657,-11,1,10,-9,37,2,20,15,41,9,32,0,-4,-7,-12,15
2481,Lycksele                                          ,12 292,2,43,33,10,159,70,55,34,172,98,71,3,-13,-28,-16,31
2418,Malå                                              ,3 123,1,11,11,0,40,20,8,12,43,21,21,1,-3,-1,-13,11
2401,Nordmaling                                        ,7 158,41,19,12,7,134,60,38,36,100,53,45,2,34,7,-7,34
2417,Norsjö                                            ,4 088,-22,3,10,-7,57,21,16,20,70,51,19,0,-13,-30,-3,20
2409,Robertsfors                                       ,6 787,-12,15,19,-4,116,64,41,11,121,76,38,7,-5,-12,3,4
2482,Skellefteå                                        ,72 638,167,196,178,18,903,197,415,291,755,216,512,27,148,-19,-97,264
2422,Sorsele                                           ,2 544,17,7,4,3,74,21,31,22,61,38,20,3,13,-17,11,19
2421,Storuman                                          ,5 893,6,18,24,-6,100,34,44,22,89,37,49,3,11,-3,-5,19
2480,Umeå                                              ,124 675,1 293,398,194,204,3 014,527,1 929,558,1 933,376,1 445,112,1 081,151,484,446
2462,Vilhelmina                                        ,6 789,-2,11,21,-10,92,18,42,32,85,47,37,1,7,-29,5,31
2404,Vindeln                                           ,5 410,28,13,14,-1,127,53,51,23,98,58,40,0,29,-5,11,23
2460,Vännäs                                            ,8 739,24,27,22,5,186,122,33,31,167,113,54,0,19,9,-21,31
2463,Åsele                                             ,2 826,-13,8,10,-2,57,17,28,12,66,39,24,3,-9,-22,4,9
2506,Arjeplog                                          ,2 829,-34,7,13,-6,26,7,13,6,54,17,37,0,-28,-10,-24,6
2505,Arvidsjaur                                        ,6 452,2,18,10,8,102,26,49,27,108,26,75,7,-6,0,-26,20
2582,Boden                                             ,28 073,8,67,72,-5,474,179,138,157,463,182,267,14,11,-3,-129,143
2523,Gällivare                                         ,17 875,-58,55,50,5,165,43,69,53,229,97,125,7,-64,-54,-56,46
2583,Haparanda                                         ,9 740,-39,12,26,-14,140,32,67,41,166,57,67,42,-26,-25,0,-1
2510,Jokkmokk                                          ,5 105,40,12,11,1,143,29,34,80,104,42,61,1,39,-13,-27,79
2514,Kalix                                             ,16 214,-32,44,58,-14,202,92,52,58,220,80,132,8,-18,12,-80,50
2584,Kiruna                                            ,23 178,-32,67,51,16,390,63,119,208,441,125,309,7,-51,-62,-190,201
2580,Luleå                                             ,77 307,568,188,148,40,1 619,413,994,212,1 097,313,740,44,522,100,254,168
2521,Pajala                                            ,6 047,-25,9,28,-19,95,41,15,39,103,43,52,8,-8,-2,-37,31
2581,Piteå                                             ,42 124,208,89,100,-11,712,219,282,211,488,115,347,26,224,104,-65,185
2560,Älvsbyn                                           ,8 257,-11,11,23,-12,102,32,22,48,102,59,39,4,0,-27,-17,44
2513,Överkalix                                         ,3 391,-11,6,13,-7,49,17,10,22,53,37,16,0,-4,-20,-6,22
2518,Övertorneå                                        ,4 488,-29,8,18,-10,64,28,20,16,84,28,37,19,-20,0,-17,-3
