county_id,county_name,population,population_change,num_born,num_dead,birth_excess,total_immigration,internal_immigration,swedish_immigration,foreign_immigration,total_emigration,internal_emmigration,swedish_emigration,foreign_emigration,total_net_migration,internal_migration,swedish_migration,foreign_migration
0765,Älmhult                                           ,17 040,422,161,164,-3,1 144,196,488,460,721,180,474,67,423,16,14,393
0885,Borgholm                                          ,10 864,-66,81,139,-58,602,164,295,143,612,229,370,13,-10,-65,-75,130
0862,Emmaboda                                          ,9 350,2,57,104,-47,479,120,229,130,431,128,271,32,48,-8,-42,98
0860,Hultsfred                                         ,14 589,-18,127,132,-5,1 230,188,632,410,1 274,329,921,24,-44,-141,-289,386
0821,Högsby                                            ,6 156,76,39,63,-24,639,160,205,274,542,207,319,16,97,-47,-114,258
0880,Kalmar                                            ,67 213,642,578,455,123,3 288,1 190,1 613,485,2 769,915,1 742,112,519,275,-129,373
0861,Mönsterås                                         ,13 487,92,110,120,-10,658,279,182,197,557,286,265,6,101,-7,-83,191
0840,Mörbylånga                                        ,14 974,58,138,145,-7,774,401,270,103,713,408,284,21,61,-7,-14,82
0881,Nybro                                             ,20 352,41,206,179,27,1 000,369,371,260,996,414,542,40,4,-45,-171,220
0882,Oskarshamn                                        ,26 883,-123,203,217,-14,1 028,346,418,264,1 143,360,747,36,-115,-14,-329,228
0834,Torsås                                            ,7 069,6,51,74,-23,374,122,175,77,342,154,178,10,32,-32,-3,67
0884,Vimmerby                                          ,15 726,90,109,146,-37,718,173,361,184,592,187,381,24,126,-14,-20,160
0883,Västervik                                         ,36 556,118,259,318,-59,1 268,276,695,297,1 103,171,883,49,165,105,-188,248
0980,Gotland                                           ,58 464,461,413,452,-39,2 374,.,2 006,368,1 891,.,1 811,80,483,.,195,288
1082,Karlshamn                                         ,32 209,79,243,300,-57,1 142,305,576,261,1 017,260,710,47,125,45,-134,214
1080,Karlskrona                                        ,66 608,346,525,493,32,2 637,354,1 505,778,2 324,349,1 790,185,313,5,-285,593
1060,Olofström                                         ,13 462,45,95,138,-43,719,148,359,212,629,184,421,24,90,-36,-62,188
1081,Ronneby                                           ,29 597,390,258,237,21,1 371,371,536,464,1 010,381,593,36,361,-10,-57,428
1083,Sölvesborg                                        ,17 491,54,121,147,-26,695,160,392,143,615,164,427,24,80,-4,-35,119
1260,Bjuv                                              ,15 356,154,128,117,11,1 083,752,194,137,942,759,133,50,141,-7,61,87
1272,Bromölla                                          ,12 677,52,101,93,8,594,217,278,99,547,239,278,30,47,-22,0,69
1231,Burlöv                                            ,17 954,308,167,105,62,1 554,1 140,134,280,1 314,1 096,121,97,240,44,13,183
1278,Båstad                                            ,14 748,134,79,126,-47,865,316,395,154,688,357,277,54,177,-41,118,100
1285,Eslöv                                             ,33 124,246,298,246,52,1 667,1 118,270,279,1 469,1 123,260,86,198,-5,10,193
1283,Helsingborg                                       ,142 793,2 246,1 315,975,340,7 459,3 370,2 091,1 998,5 581,3 218,1 697,666,1 878,152,394,1 332
1293,Hässleholm                                        ,51 897,230,404,417,-13,2 250,1 056,624,570,2 004,1 232,639,133,246,-176,-15,437
